ip,label,result
100.24.133.167,bad,1
100.24.217.240,bad,1
100.25.1.9,bad,1
100.25.206.240,bad,1
100.25.24.131,bad,1
100.26.124.149,bad,1
100.26.98.218,bad,1
100.42.48.198,bad,1
100.42.64.87,bad,1
100.42.65.208,bad,1
100.42.65.230,bad,1
101.0.81.153,bad,1
101.132.78.77,bad,1
101.173.169.186,bad,1
101.177.107.67,bad,1
101.181.169.154,bad,1
101.182.45.53,bad,1
101.185.106.83,bad,1
101.185.154.41,bad,1
101.32.203.4,bad,1
101.43.117.11,bad,1
101.50.0.49,bad,1
101.99.90.128,bad,1
101.99.90.13,bad,1
101.99.90.131,bad,1
101.99.90.132,bad,1
101.99.90.139,bad,1
101.99.90.146,bad,1
101.99.90.147,bad,1
101.99.90.154,bad,1
101.99.90.156,bad,1
101.99.90.161,bad,1
101.99.90.203,bad,1
101.99.90.211,bad,1
101.99.90.35,bad,1
101.99.90.86,bad,1
101.99.90.98,bad,1
101.99.92.118,bad,1
101.99.92.175,bad,1
101.99.92.203,bad,1
101.99.92.208,bad,1
101.99.93.167,bad,1
101.99.94.112,bad,1
101.99.94.177,bad,1
101.99.95.105,bad,1
101.99.95.134,bad,1
101.99.95.155,bad,1
101.99.95.208,bad,1
101.99.95.25,bad,1
101.99.95.50,bad,1
101.99.95.52,bad,1
102.130.121.32,bad,1
102.37.221.78,bad,1
102.66.160.6,bad,1
102.68.156.46,bad,1
103.101.176.20,bad,1
103.101.176.34,bad,1
103.101.176.36,bad,1
103.101.176.38,bad,1
103.109.101.72,bad,1
103.11.153.184,bad,1
103.115.42.208,bad,1
103.115.42.209,bad,1
103.116.38.196,bad,1
103.117.212.188,bad,1
103.117.72.15,bad,1
103.117.72.24,bad,1
103.118.159.136,bad,1
103.119.0.224,bad,1
103.119.30.176,bad,1
103.119.3.81,bad,1
103.123.161.32,bad,1
103.124.105.239,bad,1
103.125.106.2,bad,1
103.125.190.22,bad,1
103.125.218.144,bad,1
103.129.222.158,bad,1
103.13.209.26,bad,1
103.134.19.92,bad,1
103.135.101.99,bad,1
103.140.212.52,bad,1
103.140.55.219,bad,1
103.143.72.151,bad,1
103.143.73.155,bad,1
103.143.73.41,bad,1
103.145.22.106,bad,1
103.147.225.123,bad,1
103.147.225.126,bad,1
103.147.225.226,bad,1
103.147.225.227,bad,1
103.147.225.228,bad,1
103.147.225.229,bad,1
103.147.225.34,bad,1
103.147.225.67,bad,1
103.149.92.146,bad,1
103.150.214.121,bad,1
103.153.183.145,bad,1
103.154.122.117,bad,1
103.155.92.10,bad,1
103.155.92.142,bad,1
103.155.92.196,bad,1
103.155.92.205,bad,1
103.155.92.215,bad,1
103.155.92.216,bad,1
103.155.92.221,bad,1
103.155.92.238,bad,1
103.155.92.251,bad,1
103.155.92.76,bad,1
103.155.93.105,bad,1
103.155.93.154,bad,1
103.155.93.209,bad,1
103.155.93.217,bad,1
103.155.93.241,bad,1
103.155.93.247,bad,1
103.155.93.48,bad,1
103.155.93.52,bad,1
103.155.93.6,bad,1
103.155.93.79,bad,1
103.156.178.128,bad,1
103.157.253.194,bad,1
103.158.36.124,bad,1
103.161.184.224,bad,1
103.163.139.245,bad,1
103.179.86.233,bad,1
103.179.87.112,bad,1
103.183.74.233,bad,1
103.186.215.12,bad,1
103.186.215.46,bad,1
103.186.67.32,bad,1
103.186.84.124,bad,1
103.186.84.125,bad,1
103.187.146.250,bad,1
103.187.147.161,bad,1
103.18.7.150,bad,1
103.194.187.142,bad,1
103.201.131.169,bad,1
103.204.129.196,bad,1
103.205.59.118,bad,1
103.211.143.23,bad,1
103.212.231.131,bad,1
103.212.98.36,bad,1
103.215.76.155,bad,1
103.21.58.121,bad,1
103.219.154.102,bad,1
103.226.124.220,bad,1
103.229.124.47,bad,1
103.229.72.95,bad,1
103.231.174.50,bad,1
103.234.178.177,bad,1
103.241.146.74,bad,1
103.241.65.73,bad,1
103.245.208.127,bad,1
103.245.211.227,bad,1
103.25.130.114,bad,1
103.252.116.58,bad,1
103.253.144.208,bad,1
103.254.151.29,bad,1
103.254.75.152,bad,1
103.254.75.237,bad,1
103.254.75.28,bad,1
103.255.237.203,bad,1
103.27.110.90,bad,1
103.27.34.27,bad,1
103.30.194.169,bad,1
103.30.194.51,bad,1
103.30.211.132,bad,1
103.30.211.53,bad,1
103.30.211.54,bad,1
103.30.211.55,bad,1
103.31.39.128,bad,1
103.3.188.165,bad,1
103.40.8.188,bad,1
103.41.45.130,bad,1
103.42.224.18,bad,1
103.45.103.207,bad,1
103.45.69.198,bad,1
103.49.249.125,bad,1
103.49.251.171,bad,1
103.49.251.172,bad,1
103.49.251.173,bad,1
103.49.251.174,bad,1
103.50.160.203,bad,1
103.52.115.24,bad,1
103.55.38.136,bad,1
103.56.16.107,bad,1
103.56.19.159,bad,1
103.56.206.39,bad,1
103.60.109.137,bad,1
103.6.196.105,bad,1
103.68.181.35,bad,1
103.68.4.62,bad,1
103.72.79.101,bad,1
103.73.161.166,bad,1
103.74.123.4,bad,1
103.74.193.184,bad,1
103.74.193.29,bad,1
103.78.143.4,bad,1
103.80.134.85,bad,1
103.81.170.10,bad,1
103.82.24.41,bad,1
103.87.242.161,bad,1
103.87.242.162,bad,1
103.91.66.99,bad,1
103.91.90.221,bad,1
103.93.79.127,bad,1
103.97.131.67,bad,1
103.99.61.47,bad,1
104.128.228.94,bad,1
104.128.237.133,bad,1
104.128.239.149,bad,1
104.128.239.25,bad,1
104.128.65.64,bad,1
104.128.67.124,bad,1
104.129.12.10,bad,1
104.129.12.12,bad,1
104.129.12.35,bad,1
104.129.63.82,bad,1
104.129.9.166,bad,1
104.130.206.168,bad,1
104.130.4.37,bad,1
104.14.132.210,bad,1
104.153.233.177,bad,1
104.154.113.136,bad,1
104.154.234.213,bad,1
104.154.42.229,bad,1
104.154.58.31,bad,1
104.154.90.43,bad,1
104.155.163.88,bad,1
104.155.24.130,bad,1
104.156.230.186,bad,1
104.156.239.55,bad,1
104.156.62.240,bad,1
104.161.100.222,bad,1
104.168.11.11,bad,1
104.168.125.104,bad,1
104.168.135.202,bad,1
104.168.137.248,bad,1
104.168.149.98,bad,1
104.168.154.14,bad,1
104.168.158.203,bad,1
104.168.167.62,bad,1
104.168.169.107,bad,1
104.168.173.244,bad,1
104.168.173.248,bad,1
104.168.174.44,bad,1
104.168.211.157,bad,1
104.168.211.161,bad,1
104.168.219.72,bad,1
104.168.237.121,bad,1
104.168.251.180,bad,1
104.168.44.217,bad,1
104.168.46.106,bad,1
104.168.46.163,bad,1
104.168.52.143,bad,1
104.168.62.40,bad,1
104.168.87.174,bad,1
104.168.98.122,bad,1
104.168.99.218,bad,1
104.168.99.219,bad,1
104.168.99.45,bad,1
104.171.123.2,bad,1
104.171.127.186,bad,1
104.194.156.107,bad,1
104.194.247.136,bad,1
104.194.247.145,bad,1
104.194.247.149,bad,1
104.194.247.150,bad,1
104.194.247.152,bad,1
104.194.247.157,bad,1
104.194.247.158,bad,1
104.194.247.160,bad,1
104.194.247.172,bad,1
104.194.247.180,bad,1
104.194.247.184,bad,1
104.194.247.185,bad,1
104.194.250.139,bad,1
104.194.250.155,bad,1
104.194.251.103,bad,1
104.194.8.242,bad,1
104.196.190.189,bad,1
104.196.200.37,bad,1
104.196.23.63,bad,1
104.197.127.51,bad,1
104.197.161.143,bad,1
104.197.174.210,bad,1
104.197.255.241,bad,1
104.197.38.74,bad,1
104.197.57.58,bad,1
104.198.120.134,bad,1
104.198.125.199,bad,1
104.198.209.207,bad,1
104.198.58.176,bad,1
104.199.74.230,bad,1
104.200.17.253,bad,1
104.207.153.252,bad,1
104.210.128.114,bad,1
104.211.46.138,bad,1
104.214.36.207,bad,1
104.214.51.12,bad,1
104.214.62.113,bad,1
104.214.63.84,bad,1
104.215.83.206,bad,1
104.218.10.194,bad,1
104.218.50.183,bad,1
104.218.51.228,bad,1
104.223.119.133,bad,1
104.223.119.229,bad,1
104.223.4.2,bad,1
104.223.89.140,bad,1
104.223.91.182,bad,1
104.223.93.102,bad,1
104.225.148.43,bad,1
104.225.1.76,bad,1
104.22.5.240,bad,1
104.233.165.111,bad,1
104.233.204.78,bad,1
104.234.118.90,bad,1
104.236.65.22,bad,1
104.237.155.184,bad,1
104.238.138.77,bad,1
104.238.213.219,bad,1
